qName	blockSizes	CostaRica/01/2020	CostaRica/02/2020	Spain/Albacete-COV003776/2020	Spain/Madrid_H12_2309/2020
r1s1p4806	289	0	0	0	0
r2s1p11014	290	0	0	0	0
r3s1p29088	288	0	0	0	0
r4s1p29064	288	0	0	0	0
r5s1p8465	290	0	0	0	0
r6s1p21853	287	0	0	0	0
r7s1p30673	286	0	0	0	0
r8s1p3276	235	0	0	0	0
r9s1p3453	290	0	0	0	0
r10s1p15657	289	0	0	0	0
r11s1p17074	291	0	0	0	0
r12s1p11851	285	0	0	0	0
r13s1p26561	255	0	0	0	0
r14s1p23171	218	0	0	0	0
r15s1p31222	240	0	0	0	0
r16s1p14800	292	0	0	0	0
r17s1p29152	289	0	0	0	0
r18s1p4914	288	0	0	0	0
r19s1p10611	290	0	0	0	0
r20s1p25399	144	0	0	0	0
r21s1p22079	291	0	0	0	0
r22s1p9864	290	0	0	0	0
r23s1p22759	291	0	0	0	0
r25s1p9782	290	0	0	0	0
r26s1p23401	189	0	1	1	1
r27s1p30320	287	0	0	0	0
r28s1p8676	288	0	0	0	0
r29s1p683	290	0	0	0	0
r30s1p10790	290	0	0	0	0
r31s1p20329	288	0	0	0	0
r32s1p24174	292	0	0	0	0
r33s1p936	290	0	0	0	0
r34s1p8336	290	0	0	0	0
r35s1p22573	290	0	0	0	0
r36s1p18670	288	0	0	0	0
r37s1p10960	289	0	0	0	0
r38s1p9862	290	0	0	0	0
r40s1p19465	291	0	0	0	0
r41s1p7543	292	0	0	0	0
r42s1p10696	289	0	0	0	0
r43s1p29101	289	0	0	0	0
r44s1p19325	289	0	0	0	0
r45s1p31110	288	0	0	0	0
r46s1p22878	290	0	0	0	0
r48s1p20343	289	0	0	0	0
r49s1p466	99	0	0	0	0
r50s1p963	289	0	0	0	0
r51s1p12020	285	0	0	1	0
r52s1p28163	290	0	0	0	0
r53s1p18049	291	0	0	0	0
r54s1p20439	290	0	0	0	0
r55s1p18736	290	0	0	0	0
r57s1p7469	290	0	0	0	0
r58s1p13775	291	0	0	0	0
r59s1p17697	290	0	0	0	0
r60s1p25362	141	0	0	0	0
r61s1p8200	290	0	0	0	0
r62s1p17060	291	0	0	0	0
r63s1p23533	197	0	1	1	1
r64s1p28672	290	0	0	0	0
r65s1p25438	182	0	0	0	0
r66s1p30245	285	0	0	0	0
r67s1p14332	290	0	0	0	0
r68s1p4322	290	0	0	0	0
r69s1p18069	291	0	0	0	0
r70s1p20342	289	0	0	0	0
r71s1p2765	291	0	0	0	0
r72s1p12103	290	0	0	1	0
r73s1p12018	285	0	0	1	0
r74s1p16742	291	0	0	0	0
r75s1p18879	289	0	0	0	0
r76s1p24108	291	0	0	0	0
r77s1p26388	155	0	0	0	0
r78s1p4764	290	0	0	0	0
r79s1p22980	289	0	0	0	0
r80s1p11273	289	0	0	0	0
r81s1p1642	289	0	0	0	0
r82s1p26287	187	0	0	0	0
r83s1p13106	290	0	0	0	0
r84s1p23366	186	0	0	0	0
r85s1p30902	289	0	0	0	0
r86s1p21216	140	0	0	0	0
r87s1p15283	289	0	0	0	0
r88s1p22287	292	0	0	0	0
r89s1p31245	217	0	0	0	0
r90s1p26019	130	0	0	0	0
r91s1p24904	291	0	0	0	0
r92s1p3958	291	0	0	0	0
r93s1p30397	285	0	0	0	0
r94s1p12896	143	0	0	0	0
r95s1p27981	291	0	0	0	0
r96s1p6097	289	0	0	0	0
r97s1p7557	291	0	0	0	0
r98s1p28838	289	0	0	0	0
