qName	blockSizes	Canada/Qc-L00240866/2020	England/LOND-124C7A4/2020	England/NORT-28118A/2020	England/OXON-B010C/2020	Hangzhou/HZCDC6706/2020	India/CCMB_NIV5/2020	NC_045512v2	NorthernIreland/NIRE-FC0CB/2020	Spain/Teruel2427/2020	USA/AZ-ASU2943/2020	USA/CruiseA-26/2020	USA/DC-CDC-9096/2020	USA/FL-CDC-6318/2020	USA/MD-HP00016/2020	USA/MD-HP00032/2020
r1s1p25228	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r2s1p21479	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r3s1p6692	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r4s1p6842	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r5s1p8168	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r6s1p19307	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r7s1p5087	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r8s1p8584	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r9s1p788	290	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1
r11s1p2231	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r12s1p3752	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r13s1p24112	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r14s1p21608	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r15s1p7304	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r16s1p13349	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r17s1p26050	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r18s1p18333	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r19s1p14956	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r20s1p1005	289	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1
r21s1p8453	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r22s1p6120	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r23s1p15525	289	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
